Order Date,Region,Category,Sales,Profit
11-08-2016,South,Furniture,261.96,41.9136
11-08-2016,South,Furniture,731.94,219.582
06-12-2016,West,Office Supplies,14.62,6.8714
10-11-2015,South,Furniture,957.5775,-383.031
10-11-2015,South,Office Supplies,22.368,2.5164
06-09-2014,West,Furniture,48.86,14.1694
06-09-2014,West,Office Supplies,7.28,1.9656
06-09-2014,West,Technology,907.152,90.7152
06-09-2014,West,Office Supplies,18.504,5.7825
06-09-2014,West,Office Supplies,114.9,34.47
06-09-2014,West,Furniture,1706.184,85.3092
06-09-2014,West,Technology,911.424,68.3568
4/15/2017,South,Office Supplies,15.552,5.4432
12-05-2016,West,Office Supplies,407.976,132.5922
11/22/2015,Central,Office Supplies,68.81,-123.858
11/22/2015,Central,Office Supplies,2.544,-3.816
11-11-2014,Central,Office Supplies,665.88,13.3176
5/13/2014,West,Office Supplies,55.5,9.99
8/27/2014,West,Office Supplies,8.56,2.4824
8/27/2014,West,Technology,213.48,16.011
8/27/2014,West,Office Supplies,22.72,7.384
12-09-2016,Central,Office Supplies,19.46,5.0596
12-09-2016,Central,Office Supplies,60.34,15.6884
7/16/2017,East,Furniture,71.372,-1.0196
9/25/2015,West,Furniture,1044.63,240.2649
1/16/2016,West,Office Supplies,11.648,4.2224
1/16/2016,West,Technology,90.57,11.7741
9/17/2015,East,Furniture,3083.43,-1665.0522
9/17/2015,East,Office Supplies,9.618,-7.0532
9/17/2015,East,Furniture,124.2,15.525
9/17/2015,East,Office Supplies,3.264,1.1016
9/17/2015,East,Office Supplies,86.304,9.7092
9/17/2015,East,Office Supplies,6.858,-5.715
9/17/2015,East,Office Supplies,15.76,3.546
10/19/2017,Central,Office Supplies,29.472,9.9468
12-08-2016,Central,Technology,1097.544,123.4737
12-08-2016,Central,Furniture,190.92,-147.963
12/27/2015,Central,Office Supplies,113.328,35.415
12/27/2015,Central,Furniture,532.3992,-46.9764
12/27/2015,Central,Furniture,212.058,-15.147
12/27/2015,Central,Technology,371.168,41.7564
09-10-2017,Central,Technology,147.168,16.5564
7/17/2016,West,Office Supplies,77.88,3.894
9/19/2017,South,Office Supplies,95.616,9.5616
03-11-2016,Central,Technology,45.98,19.7714
03-11-2016,Central,Office Supplies,17.46,8.2062
10/20/2014,Central,Office Supplies,211.96,8.4784
6/20/2016,East,Technology,45,4.95
6/20/2016,East,Technology,21.8,6.104
4/18/2015,Central,Office Supplies,38.22,17.9634
